"Time","pod:adservice-w2-9f97cf96-gwbpr_service:adservice_node:worker--2.novalocal","pod:frontend-w2-777d8d5dcb-9n4d7_service:frontend_node:worker--2.novalocal","pod:recommendationservice-w2-5bbcb977f8-kblss_service:recommendationservice_node:worker--2.novalocal","pod:redis-cart-w2-84485f8b85-hfqkg_service:redis-cart_node:worker--2.novalocal","pod:cartservice-w2-59ff89795c-27jrd_service:cartservice_node:worker--2.novalocal","pod:currencyservice-w2-6f8d8654c5-dwxq6_service:currencyservice_node:worker--2.novalocal","pod:currencyservice-w2-6f8d8654c5-rg7s8_service:currencyservice_node:worker--2.novalocal","pod:frontend-w2-777d8d5dcb-7h756_service:frontend_node:worker--2.novalocal","pod:productcatalogservice-w2-66565874fb-5rgc5_service:productcatalogservice_node:worker--2.novalocal","pod:productcatalogservice-w2-66565874fb-6jsbr_service:productcatalogservice_node:worker--2.novalocal","pod:recommendationservice-w2-5bbcb977f8-b4lbw_service:recommendationservice_node:worker--2.novalocal"
1635840081.59,0.15097700711262668,0.5427442085010874,0.010387894347806938,0.01955237016301804,0.16928358353674203,0.49247545252157393,0.4966004151865794,0.5342481724922544,0.07747230332265294,0.07576231882275444,0.01028286339490415
1635840096.606,0.167807682698851,0.6106588486078599,0.009893950818152725,0.021296642551685972,0.18244227676295144,0.5532668130251329,0.5593686873276638,0.6011267799355495,0.0850427685243566,0.08305936138032045,0.009672787946971679
1635840111.629,0.167807682698851,0.6106588486078599,0.009893950818152725,0.021296642551685972,0.18244227676295144,0.5532668130251329,0.5593686873276638,0.6011267799355495,0.0850427685243566,0.08305936138032045,0.009672787946971679
1635840126.654,0.16953042808593188,0.6648816437904626,0.009617134910702124,0.02179702607471141,0.19209432079299327,0.5896555155426706,0.5961584675339953,0.6533312063748444,0.08774874965256543,0.08497452106942963,0.009515939918904905
1635840141.679,0.16953042808593188,0.6648816437904626,0.009617134910702124,0.02179702607471141,0.19209432079299327,0.5896555155426706,0.5961584675339953,0.6533312063748444,0.08774874965256543,0.08497452106942963,0.009515939918904905
1635840156.699,0.17083236699105253,0.6664620649733125,0.009629855112265537,0.02216513855908637,0.19349586862159537,0.5924172764941628,0.5976959931723042,0.6540588053507836,0.08816368841102512,0.08510110980608694,0.009725289683878419
1635840171.725,0.17083236699105253,0.6664620649733125,0.009629855112265537,0.02216513855908637,0.19349586862159537,0.5924172764941628,0.5976959931723042,0.6540588053507836,0.08816368841102512,0.08510110980608694,0.009725289683878419
1635840186.751,0.17146986806584813,0.6676211236098066,0.00952019910497177,0.02212982352409085,0.1938335310951845,0.5934739748907997,0.60227734203906,0.6580714859247212,0.08813410420673745,0.08523123992084908,0.009609201053593435
1635840201.763,0.17146986806584813,0.6676211236098066,0.00952019910497177,0.02212982352409085,0.1938335310951845,0.5934739748907997,0.60227734203906,0.6580714859247212,0.08813410420673745,0.08523123992084908,0.009609201053593435
1635840216.788,0.1712642625214993,0.668304093222738,0.009523289676869792,0.021887212344569175,0.1931470334845956,0.5929626956416584,0.6000814925128521,0.6563884137902409,0.08837970978744894,0.08533016621166421,0.00970408931231747
