"Time","pod:adservice-w2-9f97cf96-gwbpr_service:adservice_node:worker--2.novalocal","pod:cartservice-w2-59ff89795c-27jrd_service:cartservice_node:worker--2.novalocal","pod:productcatalogservice-w2-66565874fb-b997w_service:productcatalogservice_node:worker--2.novalocal","pod:recommendationservice-w2-5bbcb977f8-qqpct_service:recommendationservice_node:worker--2.novalocal","pod:redis-cart-w2-84485f8b85-hfqkg_service:redis-cart_node:worker--2.novalocal","pod:currencyservice-w2-6f8d8654c5-2c6mh_service:currencyservice_node:worker--2.novalocal","pod:currencyservice-w2-6f8d8654c5-j9q67_service:currencyservice_node:worker--2.novalocal","pod:frontend-w2-777d8d5dcb-gr6wc_service:frontend_node:worker--2.novalocal","pod:frontend-w2-777d8d5dcb-h8kxh_service:frontend_node:worker--2.novalocal","pod:productcatalogservice-w2-66565874fb-2hnx4_service:productcatalogservice_node:worker--2.novalocal","pod:recommendationservice-w2-5bbcb977f8-2r8t8_service:recommendationservice_node:worker--2.novalocal"
1635836242.814,0.09626322861325866,0.1253786503833766,0.044939543542905656,0.01054744066517543,0.016008759701046815,0.33951335547907324,0.33502570113299524,0.3837939709561034,0.3822030696641121,0.04663050949522772,0.0105433592533513
1635836257.837,0.09626322861325866,0.1253786503833766,0.044939543542905656,0.01054744066517543,0.016008759701046815,0.33951335547907324,0.33502570113299524,0.3837939709561034,0.3822030696641121,0.04663050949522772,0.0105433592533513
1635836272.859,0.09924685564423838,0.12767196793270702,0.04635481238945707,0.010533375375147824,0.01672985594799671,0.3592611644201992,0.35791275983620346,0.4182435438753128,0.41756083890472484,0.04760599786131672,0.010273507680137996
1635836287.882,0.09924685564423838,0.12767196793270702,0.04635481238945707,0.010533375375147824,0.01672985594799671,0.3592611644201992,0.35791275983620346,0.4182435438753128,0.41756083890472484,0.04760599786131672,0.010273507680137996
1635836302.908,0.09834139458009572,0.12740190418853597,0.04608900105378137,0.010536274542375705,0.016639071032170397,0.3570579932840621,0.35424243196267946,0.41586482973475836,0.41677012227010757,0.04793131421851664,0.010376070083640557
1635836317.923,0.09834139458009572,0.12740190418853597,0.04608900105378137,0.010536274542375705,0.016639071032170397,0.3570579932840621,0.35424243196267946,0.41586482973475836,0.41677012227010757,0.04793131421851664,0.010376070083640557
1635836332.947,0.09947872272304234,0.1283467482188625,0.04627110038733281,0.010555102219983587,0.016577588945628115,0.3581768505946189,0.3550148455250274,0.4176963080107573,0.41740709132964016,0.048013924848274395,0.010314631710506107
1635836347.979,0.09947872272304234,0.1283467482188625,0.04627110038733281,0.010555102219983587,0.016577588945628115,0.3581768505946189,0.3550148455250274,0.4176963080107573,0.41740709132964016,0.048013924848274395,0.010314631710506107
1635836363.006,0.10028407326288807,0.12178685747391729,0.04636209713754155,0.010726502374645923,0.01672131262507131,0.36143950350723164,0.3560880498589072,0.42104340233638227,0.420451608189456,0.04825799108363183,0.010399524032639287
1635836378.022,0.10028407326288807,0.12178685747391729,0.04636209713754155,0.010726502374645923,0.01672131262507131,0.36143950350723164,0.3560880498589072,0.42104340233638227,0.420451608189456,0.04825799108363183,0.010399524032639287
